Tick,Dist_SameFeature_WithNoise,Dist_DifferentFeature
317,72.557,81.041
318,72.779,80.696
319,73.432,81.223
320,73.046,81.37
321,74.041,81.881
322,74.26,81.66
323,73.976,82.044
324,73.281,82.027
325,74.104,82.259
326,73.853,82.206
327,74.197,82.657
328,74.214,82.668
329,74.093,82.728
330,74.234,82.798
331,73.778,82.129
332,74.282,83.298
333,74.352,82.262
334,73.899,82.801
335,74.825,83.514
336,73.716,82.604
337,73.857,82.015
338,74.31,82.333
339,74.709,82.796
340,74.231,82.346
341,74.578,82.615
342,75.331,82.844
343,75.443,83.276
344,74.923,82.793
345,75.037,82.309
346,75.088,83.198
347,74.647,82.014
348,74.03,81.765
349,74.26,81.45
350,73.77,82.828
351,74.681,82.639
352,74.749,83.291
353,74.819,83.66
354,74.424,83.728
355,74.497,83.168
356,74.398,82.984
357,74.329,82.166
358,74.545,82.389
359,74.527,82.076
360,74.45,81.132
361,75.159,81.261
362,74.92,81.519
363,74.685,80.98
364,74.622,81.076
365,74.112,81.177
366,74.529,80.962
367,74.253,81.185
368,73.766,81.403
369,73.743,80.586
370,73.173,81.028
371,72.394,80.665
372,71.989,80.26
373,72.412,80.756
374,71.676,80.159
375,72.866,80.789
376,72.987,80.842
377,73.844,81.539
378,72.935,80.991
379,73.723,81.566
380,73.201,81.203
381,73.268,81.234
382,72.98,80.484
383,73.72,80.91
384,73.505,80.917
385,74.378,82.323
386,74.277,81.97
387,74.751,82.777
388,73.842,81.479
389,74.639,82.109
390,73.66,81.473
391,74.427,81.265
392,73.307,81.071
393,73.638,81.955
394,73.402,80.9
395,73.538,80.818
396,73.441,79.699
397,73.826,80.108
398,73.203,80.019
399,73.992,80.932
400,73.193,80.229
401,73.083,81.213
402,72.93,81.52
403,72.596,80.925
404,72.019,80.748
405,73.166,81.44
406,72.407,81.111
407,73.069,81.064
408,73.169,80.517
409,73.922,80.958
410,72.909,80.853
411,74.786,82.006
412,74.3,82.866
413,74.074,82.372
414,73.788,82.073
415,74.251,82.248
416,74.04,82.42
417,73.416,83.146
418,74.006,81.853
419,73.977,82.316
420,73.774,82.077
421,74.801,83.071
422,73.987,81.994
423,74.687,82.993
424,73.999,81.756
425,74.761,82.537
426,74.272,82.368
427,74.723,83.108
428,74.121,81.649
429,75.019,83.102
430,74.111,81.903
431,74.412,82.345
432,73.867,81.859
433,73.759,82.515
434,73.224,81.4
435,73.878,82.292
436,73.521,82.595
437,74.774,83.114
438,73.652,83.056
439,73.705,82.89
440,74.123,83.263
441,74.562,83.564
442,74.114,83.072
443,75.18,83.838
444,73.992,83.796
445,74.044,82.619
446,73.994,83.243
447,73.685,83.054
448,73.487,81.718
449,73.94,83.066
450,74.359,82.597
451,74.67,83.088
452,73.971,82.697
453,75.153,82.231
454,74.259,82.279
455,74.32,82.15
456,74.703,82.278
457,75.609,82.942
458,74.221,82.831
459,74.967,83.231
460,74.952,83.45
461,74.907,82.945
462,75.371,83.329
463,74.38,83.22
464,74.934,83.025
465,74.471,82.763
466,74.646,83.336
467,74.594,82.975
468,74.666,83.28
469,74.1,82.413
470,74.596,83.1
471,74.275,82.459
472,73.939,82.723
473,74.245,82.294
474,73.479,83.393
475,73.973,83.2
476,72.8,82.381
477,72.999,83.606
478,73.731,83.308
479,73.379,82.869
480,73.253,83.453
481,72.52,83.604
482,73.445,82.921
483,72.976,84.549
484,72.563,83.431
485,72.945,83.376
486,73.182,82.791
487,73.872,83.13
488,73.776,82.789
489,73.223,83.84
490,74.373,83.53
491,73.607,82.867
492,75.011,83.702
493,74.587,83.811
494,74.349,83.649
495,73.826,84.15
496,73.748,83.31
497,72.981,83.637
498,73.355,83.501
499,73.221,82.609
500,72.99,83.871
501,74.095,84.005
502,73.042,83.054
503,74.091,83.336
504,73.4,83.448
505,73.275,82.924
506,72.819,82.891
507,73.308,82.469
508,73.777,83.452
509,73.28,83.009
510,73.462,83.359
511,74.367,83.944
512,74.55,82.878
513,75.413,83.613
514,75.242,83.78
515,75.152,84.236
516,74.991,83.98
517,75.245,84.773
518,74.664,83.641
519,75.527,84.385
520,75.09,84.884
521,75.287,84.327
522,75.517,84.57
523,75.565,84.379
524,74.946,83.851
525,75.216,84.565
526,74.362,83.363
527,74.793,84.205
528,74.57,83.747
529,74.843,84.413
530,74.46,84.289
531,74.87,83.845
532,74.374,83.196
533,73.709,82.125
534,73.702,82.629
535,73.584,82.578
536,74.078,83.902
537,74.311,83.007
538,74.412,83.358
539,74.256,82.83
540,74.903,83.453
541,74.767,83.148
542,74.296,83.034
543,74.603,83.579
544,74.417,83.647
545,75.367,83.488
546,74.656,83.861
547,75.505,84.601
548,75.016,84.493
549,74.788,84.894
550,74.899,84.443
551,75,84.083
552,74.647,83.588
553,74.719,83.381
554,74.885,83.264
555,75.011,83.805
556,74.981,84.005
557,75.73,84.725
558,74.573,84.071
559,74.993,84.63
560,74.58,84.74
561,74.71,84.09
562,74.488,84.114
563,74.571,83.759
564,73.698,83.094
565,74.535,83.386
566,74.147,83.357
567,73.857,82.794
568,73.98,83.415
569,73.611,82.289
570,73.741,82.568
571,74.098,82.454
572,73.04,82.374
573,74.377,82.676
574,74.172,83.482
575,73.945,82.14
576,74.43,83.329
577,74.23,83.758
578,73.485,83.118
579,73.692,83.145
580,73.555,82.987
581,73.389,83.123
582,73.201,82.765
583,73.419,82.593
584,72.676,82.5
585,73.691,83.202
586,73.747,83.592
587,73.925,83.112
588,73.172,83.225
589,73.563,82.886
590,73.084,83.792
591,73.228,83.357
592,73.03,83.395
593,73.048,83.688
594,72.895,83.141
595,72.901,83.134
596,72.684,82.248
597,73.197,82.681
598,72.849,82.138
599,72.365,82.763
600,73.323,83.202
601,73.559,82.479
602,73.792,82.749
603,73.144,81.927
604,72.784,81.792
605,73.727,81.709
606,73.861,81.886
607,74.705,81.956
608,73.252,82.195
609,73.547,81.672
610,73.327,82.042
611,72.633,82.251
612,72.928,81.778
613,72.366,82.205
614,72.312,81.747
615,72.468,82.877
616,73.195,81.853
617,72.709,83.294
618,72.947,82.438
619,72.472,83.103
620,71.852,82.553
621,73.353,83.596
622,73.096,82.591
623,73.674,82.864
624,74.264,82.387
625,73.707,82.142
626,73.413,82.364
627,74.159,82.565
628,73.965,82.939
629,74.22,82.562
630,75.009,82.567
631,74.396,82.78
632,75.245,82.794
633,74.114,82.21
634,74.154,82.523
635,73.926,82.994
636,73.472,82.954
637,73.993,83.498
638,74.297,83.416
639,73.532,82.738
640,73.564,83.745
641,73.88,83.465
642,73.835,83.61
643,73.653,83.215
644,74.34,83.312
645,74.769,83.609
646,74.494,84.008
647,74.919,84.045
648,74.805,85.343
649,74.869,85.949
650,74.777,85.013
651,74.407,85.587
652,74.382,85.098
653,74.289,84.147
654,74.097,85.016
655,73.226,84.451
656,74.713,84.254
657,73.557,83.928
658,74.163,83.433
659,74.095,83.88
660,73.148,83.311
661,73.657,84.209
662,73.187,83.852
663,73.539,84.508
664,73.898,84.523
665,73.256,84.098
666,73.533,83.46
667,72.963,83.773
668,73.031,83.045
669,72.824,83.111
670,73.268,83.145
671,73.69,84.01
672,72.74,82.925
673,73.793,84.091
674,73.118,83.468
